"{0.9313654161019104, 0.16532081746050556, 0.0273309726858098, 208553/6120, (4*Sqrt[148591357/8323115])/3, 2377461712/74908035, 3925765011754190067/1413081048006492736, -508978710281/(2377461712*Sqrt[297182714]), {208553/6120, 58409261/48960, 2096225629/48960, 76973022803/48960, 2886972509929/48960, 110432005334051/48960, 4302366362653249/48960, 170506266506979803/48960, 6865731109314473929/48960, 16504869807532376323/2880}, {0, 148591357/4681800, -508978710281/229220928000, 1308588337251396689/467610693120000, 4815836231949781211461/4292666162841600000, 1828110559572766021134643933/5254223383318118400000, 33393137716466788413561688938259/107186157019689615360000000, 102160583477220755109077523658847860853/1967937842881501338009600000000, 185827053109852457908377782252870575137121/3010944899608697047154688000000000, 17931380913820675251121769082974428242974558819/2047442531733913992065187840000000000}}","{27.647705569703163, 0.11046191311062327, 0.012201834248058884, 385197/170, 3*Sqrt[57934392382/8323115], 521409531438/8323115, 7537827423089636984096/2517295365503654725443, -9531154902964388/(86901588573*Sqrt[28967196191]), {385197/170, 28270527731/5440, 196639785719921/16320, 460377023359351631/16320, 1087325002094845119337/16320, 2588514178647936762921763/16320, 2069029071946195872154105727/5440, 4994613138399061621059516346437/5440, 36395794420223094279478594831767137/16320, 88920555764262020667281148160875676283/16320}, {0, 28967196191/462400, -2382788725741097/235824000, 235557106971551155753/20045040000, -12463111732793438850408653/3407656800000, 712346110440639522327245088323/231720662400000, -84899568581905095964367578523259697/65654187680000000, 2643309496941506778096245774180414657847/2790302976400000000, -675277155183032129382665284111140274105360853/1423054517964000000000, 313830089571608273285590594794065991360113641865057/967677072215520000000000}}"
"{0.5283017805490234, 0.13279329273139187, 0.017634058594445133, 1324465/44209, 2*Sqrt[15466724311/3908827153], 61866897244/3908827153, 600944664954431211383/239219560912478424721, 209229889069881/(30933448622*Sqrt[30933448622]), {1324465/44209, 40379583/44209, 1251771316/44209, 39423549573/44209, 1260275181760/44209, 40856482016853/44209, 1342005375192736/44209, 44624109368363853/44209, 136444822285857200/4019, 51022334728154879973/44209}, {0, 30933448622/1954435681, 209229889069881/86403647021329, 2403778659817724845532/3819818831165933761, 28296665588438811457697085/168870370707014765640049, 279727816190343796651605263173772/7465590218586415774180926241, 6587336017111336290171017977428501141/330046277973486854960764568188369, 40334590726481228440687759905975942273239012/14591015902929880370960440795039605121, 1764078913535754308177259114517040571017369059005/645054222052627081319790127107905902794289, 6595117146343259931694258577399827041774418623607812572/28517202102724590638066601729313412056632722401}}","{21.486281507560967, 0.10296476990332562, 0.01060174384124479, 89597243/44209, Sqrt[10012505355662/229931009], 10012505355662/229931009, 33017057444369433912694143011/7243081537669826842591858129, 873595963339237804092/(85106295523127*Sqrt[85106295523127]), {89597243/44209, 183509517264/44209, 380164058935622/44209, 72480899206100346/4019, 1694238891818845405718/44209, 3650881297337437989677634/44209, 7983239567629389223200139562/44209, 17722540784999119252002751864446/44209, 39951573929179081052072614785112238/44209, 91447445122330045805478388718050599354/44209}, {0, 85106295523127/1954435681, 873595963339237804092/86403647021329, 33017057444369433912694143011/3819818831165933761, 679486594216148289818848970691880620/168870370707014765640049, 19487120872787994651116086577673735296763587/7465590218586415774180926241, 481995743290246756584359931237514263131660935404372/330046277973486854960764568188369, 13169610085573713432240887316677713395713772182307171423251/14591015902929880370960440795039605121, 346876327771412365955056934053130659419921192307631424650624013660/645054222052627081319790127107905902794289, 9457851275820037958711196437950950295963805260945130255486979139824760547/28517202102724590638066601729313412056632722401}}"
"{0.7542853103484862, 0.15741814220643732, 0.024780471495726125, 1256753/41288, Sqrt[39138499111/1894087]/30, 39138499111/1704678300, 4491984750054689242861/1531822112661747790321, 488953438224522/(39138499111*Sqrt[39138499111]), {1256753/41288, 39201865/41288, 625624321/20644, 40811230975/41288, 52255753753/1588, 46119418231555/41288, 797414226331951/20644, 56134937615784415/41288, 1004755210047101569/20644, 73102783260516134395/41288}, {0, 39138499111/1704698944, 244476719112261/35191804999936, 4491984750054689242861/2905998489674715136, 79249680588915380134420125/29995716410422409633792, 767184215465591415666429886504531/4953852556614081795840016384, 58879714527844188422359306367701165791/102267332178741104593321298231296, 164212065976976857917769675132223556346038361/8444827221991725452898099522747498496, 4966978985582264939718848768361658368131920277325/43583753292699295062407091636899839737856, 40736231993805828505130641743350668334342381283576196351/14395888047591747956293311996034564664772788224}}","{19.253179206390815, 0.09881939623587056, 0.00976527307242199, 162806561/82576, Sqrt[258834962122127/1894087]/60, 258834962122127/6818713200, 158947827161146465409427236189/66995537616762918823263004129, -2064140298081852984750/(258834962122127*Sqrt[258834962122127]), {162806561/82576, 324123368373/82576, 651097780869797/82576, 1318747265156148357/82576, 2691227960570165790221/82576, 5529984798761586173952573/82576, 11434386169039890197598796277/82576, 23777690165079863424972404683797/82576, 49701406652827946717500433298515741/82576, 104377212909073564436257103691580297773/82576}, {0, 258834962122127/6818795776, -1032070149040926492375/281534439999488, 158947827161146465409427236189/46495975834795442176, -776417171243229514104938270692362855/959862925133517108281344, 145788166594294004638649684400782612625442667/317046563623301234933761048576, -1995068553863730360668782529865542780057272117673445/13090218518878861387945126173605888, 159348192295237387886145633879185949871577367137478122460089/2161875768829881715941913477823359614976, -623399226202199283159000919916958350997393271802135073123040462215/22314881685862039071952430918092717945782272, 187245579949570509348072695736292787765219803294094488454346067556607668807/14741389360733949907244351483939394216727335141376}}"
"{1.0267438775249758, 0.18031286398530663, 0.032512728918583686, 281344/8909, 8*Sqrt[402109089/793693901], 25734981696/793693901, 22234933916505000445/9198462262409097728, (-3681398313989*Sqrt[5/804218178])/17156654464, {281344/8909, 45868192/44545, 1539589769/44545, 53041071802/44545, 374052696457/8909, 67314791558602/44545, 2466914422753949/44545, 91844389018036402/44545, 11752021814579771/151, 132446230793055981562/44545}, {0, 12867490848/396851405, -11044194941967/3535549167145, 80045762099418001602/31498207530094805, -222709671492146516156775/56123506177122923549, 714666612043135813599054724578/2500021582659940629490205, -23849237547083026097191451217918987/22272692279917411068128236345, 7945410273208807825965507083614143177402/198427415521784215205954457597605, -84377101510034156623086169403486135395590471/353557968976715114653969652547412589, 102486990652574042004574077382828817249765141171058/15749239728067774782261078172724493777005}}","{26.9287458424757, 0.11393219504738285, 0.012980545068314888, 92410679/44545, 8*Sqrt[3464036016457/3968469505], 221698305053248/3968469505, 6947276349503839485178053143/3071883653967687980757209344, 14943331275177070503/(27712288131656*Sqrt[6928072032914]), {92410679/44545, 194198737137/44545, 413319745956599/44545, 178128936046716825/8909, 1942296996865612891739/44545, 4284402134168508724342977/44545, 9553498100022581354449908119/44545, 4303965072367850200256491681377/8909, 48933639960252781298464451013516179/44545, 112240166658466127847584103842205160617/44545}, {0, 110849152526624/1984257025, 239093300402833128048/88388729178625, 27789105398015357940712212572/3937275941261850625, 83029850489960153389628211419660496/175385956803509136090625, 1697003632862423555073679682538940778515324/1562513489162462893431378125, 27722085001976694235262233716426165150524722542744/348010816873709547939503692890625, 2823412110623153155955681872929760265063353201807865682668/15502141837639391812965191999812890625, 9410903875863360894106187607795742861824227421017528210336352192/690542908157646708308534477631665212890625, 989909289402522953553859652162026988291292501935695699226197143420579116/30760233843882372621603668306102526908212890625}}"
"{0.8177404566687821, 0.16027409403203377, 0.025687785217789205, 410147/12884, Sqrt[30248160197/290492327]/2, 30248160197/1161969308, 2912006993440750430309/914951195303375078809, (-1003674414023418*Sqrt[7/30248160197])/30248160197, {410147/12884, 93743565/90188, 3127644395/90188, 106319478177/90188, 524896966997/12884, 128872136964225/90188, 654485686118885/12884, 164903992400314257/90188, 6004604312293635539/90188, 221027086000455989985/90188}, {0, 30248160197/1161982192, -501837207011709/7485489280864, 416000999062964347187/192886087789303552, -8498783870550791956815585/621286088769346740992, 9367541898680549841200323074257/32018599870817053643763712, -82497134382900303876927162062046777/29466260052543351367589404672, 269355381541811978175560221726357440775967/5315006123237559546280306457116672, -5100121727183820345976346064126686436092365545/8559817361474089649284433549186400256, 8774009747983749284712894252414707012512739911490717/882277495081857368331045134781740647186432}}","{21.88082295583947, 0.10153875946782435, 0.01031011967426469, 191402983/90188, Sqrt[377708096826483/2033446289]/2, 377708096826483/8133785156, 106585413191840556432455922791/47554468802761285765270049763, -1549559335950677793074/(125902698942161*Sqrt[377708096826483]), {191402983/90188, 410396172419/90188, 888174722648803/90188, 1938329270700804971/90188, 4261910849427848375203/90188, 9433453415544983838919019/90188, 21003961021301361124417692403/90188, 47011568006395834899106127371211/90188, 105711918545431687305000014639568643/90188, 238689521243918520636986491617920872619/90188}, {0, 377708096826483/8133875344, -2324339003926016689611/366788974762336, 319756239575521669297367768373/66159928111731118336, -2053456730029580789933765627184466215/1491707899135201525121792, 384102106680592707316941349961724807378800583/538136608028822220590736707584, -6461069047941799592958715074344750170604318104585161/24266732202451709215318681091792896, 77333697298324724207265034900608776614721636569537152786639/625305155392775643060331774373319344128, -2529535070961061269597426507947954360699068529853884482306567554975/49345643685243193484284551808783309382189056, 823057226668090211869290680654126259769216928200870927868145697368451515483/35603079301477705071685241268244392852486932660224}}"
"{1.2691244437397922, 0.1907599495154762, 0.03638935833914703, 821545/23556, Sqrt[24560234105/554879247], 24560234105/554879247, 1451051103446770468569/603205099292405151025, -15138126366236/(295906435*Sqrt[24560234105]), {821545/23556, 19796695/15704, 2212227209/47112, 28170545321/15704, 3298447289945/47112, 43713654677445/15704, 5299728980479949/47112, 72448007519353321/15704, 9034087757496217265/47112, 126742443026543189645/15704}, {0, 24560234105/554885136, -314116122099397/3267718565904, 483683701148923489523/102632504717912832, -7384204775567699843534315/453302115212841500736, 115865322625989821335285642535905/170847754015259110261395456, -914295683287659770117291211244875319/335374141131953633443119280128, 10940211539211805695350454029463478128670289/94800879222051597472633413152342016, -8981983075446220341283761007662253024172336825/17446324304333183047385567814191941632, 128204365687951160071638151250153130787809966082622945/5844844306671963873624383081686832029630464}}","{46.312528495419, 0.1421359812021141, 0.020202637152287733, 8999963/3926, Sqrt[19636593447358/184959749], 19636593447358/184959749, 238482959881555949131953408/96398950554205785679295041, (-345973574363735529*Sqrt[6/9818296723679])/516752459141, {8999963/3926, 252579878111/47112, 200364299310433/15704, 1452246131466973001/47112, 1184925941755064589037/15704, 8800419179729804303017721/47112, 7334200350165652373956809613/15704, 4268181516975308719309839753317/3624, 46996478248869254686234019071298557/15704, 360654998044438787124970140422023803881/47112}, {0, 9818296723679/92480856, -2191165970970325017/121026613552, 1242098749383103901728924/44545357950483, -10290209927590263582372864982525/932720401672513376, 228155673840320781599828248786245606569/21971161781797725085056, -164529073357486554862671929809983097127711587/28752927051779289561309952, 771466671051127976631135050758577375187819747966349/169325987407928236226554307328, -321017064555890826654190335553586968895947632173617484805/110795637760587709237575368428288, 11318941938118945774174442847404565294582172534831582994402439059/5219804086176808157600650757393504256}}"
"{0.5730805497319403, 0.13284124176774562, 0.017646795514396643, 2864072/88193, Sqrt[36188351547/121529954]/4, 36188351547/1944479264, 1387803480669956883431/436532262563085764403, 2674489367062553/(48251135396*Sqrt[36188351547]), {2864072/88193, 94652204/88193, 74011682/2051, 108842996240/88193, 3785491470062/88193, 133847309308304/88193, 4809557550875246/88193, 175553443071610880/88193, 6505440444349014542/88193, 244577048150991145904/88193}, {0, 144753406188/7778005249, 16046936202375318/685965616925057, 66614567072157930404688/60497365653471552001, 17204844192949413392724417390/5335444169076616585624193, 45882361296451499935698596084698608/470548827603374046535954453249, 17227366335347737448210881080630776478318/41499112752824367286145431095389057, 5362797162620342262225759798775240960535739264/522847321572834203438146286370806729143, 17872386511959845392161379837999944384936169781549070/322780316820310768326743048037303905043160193, 33995742493379431463927213286302484981837380736965736206928/28466964481333667591040449635553943297471426901249}}","{12.91929983278611, 0.07691442140000093, 0.0059158282192969215, 192600557/88193, Sqrt[27430626126543/60764977]/4, 27430626126543/972239632, 4472649436403610861146204745/1337669777234103871731788176, 33607012585668146987/(73148336337448*Sqrt[54861252253086]), {192600557/88193, 423099560801/88193, 934881099165311/88193, 2077648362014171789/88193, 4643749737606130827047/88193, 10438349414909002501805021/88193, 23596719923493910784504277191/88193, 53644250049678114530168459947709/88193, 122643524170538637340233724009685447/88193, 281978452761282379626874563864890728541/88193}, {0, 219445009012344/7778005249, 201642075514008881922/685965616925057, 161015379710529991001263370820/60497365653471552001, 972761265751666242754614795637593090/5335444169076616585624193, 170955834197956398160261711214211878078921244/470548827603374046535954453249, 2152402214322264200052186574526174796484803594840762/41499112752824367286145431095389057, 30240633782532379806553440543761338342696869546377285085180/522847321572834203438146286370806729143, 3956098106406381152054282383732119934177170918746094180656022941970/322780316820310768326743048037303905043160193, 285000625466012794233295219003370686818059234735438353227662301215583395244/28466964481333667591040449635553943297471426901249}}"
"{1.6283347287674683, 0.22079713337014778, 0.048751374104474825, 2910011/87124, Sqrt[412829893651/1897626063]/2, 412829893651/7590504252, 375552345200960213180917/170428521091895970109801, 29078016186270090/(412829893651*Sqrt[412829893651]), {2910011/87124, 4431961/3788, 3725078279/87124, 141231041231/87124, 5525366906591/87124, 221958822784343/87124, 9115557344677559/87124, 381343213367184191/87124, 16202574245372906831/87124, 697519485451692657383/87124}, {0, 412829893651/7590591376, 14539008093135045/330661341521312, 375552345200960213180917/57617077437405573376, 5274327823146992428549226505/1254957563664130793702656, 482986827577964631573362701461006631/437347691106694925082200805376, -10775321923693756756866924680774434998105/19051740119989844326430831483789312, 767668066615131342003961962298573423028326067497/3319727612427990394191919524387320037376, -18545777661121901675859747151815536768483639112076335/36153493563147029387947099580340108867043328, 1404329988002434398029064273263483585921103805821513972114811/25198695785564974307164024830700413159458263269376}}","{64.41945882116612, 0.1717952337832776, 0.029513602350651005, 95082953/43562, Sqrt[266822567660045/1897626063], 266822567660045/1897626063, 130950347184140594480648132057/71194282612699291906689402025, 180598150823653471908/(266822567660045*Sqrt[266822567660045]), {95082953/43562, 213663066867/43562, 493197064080335/43562, 1166254365063272163/43562, 2816945257977081426923/43562, 6929864224843197603636687/43562, 17316944864136945641881508255/43562, 43851685969459934733689986628043/43562, 112300208468329653769323789698887763/43562, 290337919118002474617729384541231848807/43562}, {0, 266822567660045/1897647844, 45149537705913367977/20666333845082, 130950347184140594480648132057/3601067339837848336, 13394225219786917362744999531005145/19608711932252043651604, 76622976121088738404438680634286284232707685/6833557673542108204409387584, 22514200535333898154885204218746420754314453167707/74420859843710329400120435483552, 48435282237824948392385805131015299988247151632429882560177/12967685986046837477312185642137968896, 5152866222558929469004804551673139776552296105709384458618439545/35306146057760770886667089433925887565472, 32010534264488403494212235122496797277494139667888789136796441482308936125/24608101353090795221839867998730872226033460224}}"
"{0.6289983513266167, 0.1423851514181871, 0.02027353134438007, 1385572/44659, 3*Sqrt[8649086162/3988807903], 77841775458/3988807903, 499098543732943285231/168315055734824753049, 688598212397011/(38920887729*Sqrt[4324543081]), {1385572/44659, 43859707/44659, 1415887645/44659, 46592315845/44659, 22000794707/629, 53323927868977/44659, 1852267236036265/44659, 1768146521401825/1207, 2347564001578623517/44659, 85509612618756276697/44659}, {0, 38920887729/1994426281, 2065794637191033/89069083283179, 4491886893596489567079/3977736190343490961, 600257167519539052201716105/177641720524549962827299, 781520462814407884127821407943179/7933301596905876789904346041, 168856654235216153447524276360097043453/354293316016219551560338189845019, 166303330176068143205070699391576067633506599/15822385199968348953133143220288703521, 48209690686550007439843217748050641140531564174945/706611900645386495897973043074873210544339, 39819706889139884099232884908853528477789895219417869379/31556580870922315520307578130680762709699635401}}","{12.914741335160109, 0.0790836293652121, 0.006254220433574238, 184438473/89318, Sqrt[212750876352397/7977615806], 212750876352397/7977615806, 6345145705258471828301420611/2382259757300679843354086611, 1290670957289580535140/(212750876352397*Sqrt[212750876352397]), {184438473/89318, 383240793557/89318, 801377582722575/89318, 1686457891445774369/89318, 3571926406070227827903/89318, 7614138529645822030487417/89318, 16334980040227195616800510695/89318, 35267077407020481028373066990849/89318, 76618211787662024216310706979746863/89318, 167475238693434571809084431787368855177/89318}, {0, 212750876352397/7977705124, 322667739322395133785/178138166566358, 120557768399910964737726991609/63643779045495855376, 164974080969330180435222873180020445/710566882098199851309196, 97897000673352434336193231456730715883758917/507731302201976114553878146624, 334653642378654471911579104371069544000953180748515/11337386112519025649930822075040608, 95082929405860787781037941776781332213899702911820663905649/4050530611191897332002084664393908101376, 91752621035383340687762002644800996902599576170752729544743636005/22611580820652367868735137378395942737418848, 101614256596449242812774241123105080259431459551799342633384704154020250237/32313938811824451092794960005817101014732426650624}}"
"{0.5378111503097489, 0.13446724310573632, 0.01808143946845719, 2625874/88283, Sqrt[62336993555/3896899903], 62336993555/3896899903, 22246350272685214604753/7771801530952223076050, 7453842776090151/(62336993555*Sqrt[124673987110]), {2625874/88283, 79515742/88283, 2451023914/88283, 76886284582/88283, 2453595227194/88283, 79617385919302/88283, 2625524222952154/88283, 87930163813566982/88283, 2988474084672437434/88283, 102991378208117198662/88283}, {0, 124673987110/7793888089, 14907685552180302/688067822161187, 44492700545370429209506/60744691543856071921, 12879943836219649123475345910/5362723603566245597401643, 24557132055782459102471901238297570/473437327893638860075409248969, 10715011788418256243503308922108616182182/41796467618434119484037354726730227, 17165603698197059637301956787903770680485849906/3689917550758219370409269787339924630241, 9474164120817649857124967528656121332925839842918390/325756991133587880677841564635730566131566203, 13880827713595177162147870108274976611427320286981171288130/28758804448246538869881886850736201569793059099449}}","{12.038853627985567, 0.0774526776073284, 0.005998917268544749, 177169657/88283, 3*Sqrt[10461022516510/3896899903], 94149202648590/3896899903, 9457794243553741835217953117/2954690786455088757009662700, 14002423809789320296/(9414920264859*Sqrt[5230511258255]), {177169657/88283, 357683651063/88283, 726589394049637/88283, 1485379991308410455/88283, 3056439362074739696557/88283, 6331180903265493988950143/88283, 13203600050564323047021479077/88283, 27724958257434014546699696881415/88283, 58618468158600426787721243975061277/88283, 124789307531308421377550105834441753423/88283}, {0, 188298405297180/7793888089, 1680290857174718435520/688067822161187, 113493530922644902022615437404/60744691543856071921, 2061616829183801619685449632741841600/5362723603566245597401643, 94333113326436679343976101019158521174814460/473437327893638860075409248969, 2303314434346280911501754357917435046748326698308000/41796467618434119484037354726730227, 91125977906677907733549061955242670451294532711868405067804/3689917550758219370409269787339924630241, 2570048932536782128303706110814707382502013368113239399791955952640/325756991133587880677841564635730566131566203, 95445548224106733895489054093083205263012753800576776355685716271796500540/28758804448246538869881886850736201569793059099449}}"
